"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\public\dist\index_bundle.js", "JavaScript", 0, 0, 1, 0, 0, 1
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\public\index.css", "CSS", 0, 108, 0, 1, 0, 109
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\public\index.html", "HTML", 27, 0, 0, 0, 0, 27
"Total", "-", 27, 108, 1, 1, 0, 137
