"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\index.ts", "TypeScript", 1, 0, -1, 0
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\card-game\CardGameEngine.ts", "TypeScript", -4, 0, 1, -3
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\card-game\CardGameUI.ts", "TypeScript", 73, 0, 3, 76
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\card-game\Game.ts", "TypeScript", 5, 0, 0, 5
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\cardObject\CanvasCardObject.ts", "TypeScript", 1, 0, 0, 1
"Total", "-", 76, 0, 3, 79
